address,latitude,longitude
Newvision Junction,39.37476,-78.30875
Shoprite - Lugogo Bypass,,
Nakawa Traffic lights,27.54286,-99.51691
MUBS,38.73413,41.49067
Bugolobi - Luzira Junction,39.02826,-96.83046
Kitintale TC Junction,8.35847,80.51171
Luzira Prison T-Junction,39.02826,-96.83046
Bitabika Main Gate,23.56631,87.24918
Biina Church - Junction,-29.5953,30.38681
Port Bell RD - Kinawataka,0.29766,32.65556
Bugolobi TC - Junction,39.02826,-96.83046
Old Portbell Rd - Kingsway - Railway Junction,,
Old Portbell Rd - NWSC Wankoko,,
Housing Finance Kololo - Junction,0.32564,32.59735
Kololo Airstrip East Gate,49.13853,-120.61306
Kololo Airstrip - Prince Charles Junction,0.33622,32.59455
Kololo Airstrip Main Gate,23.56631,87.24918
Protea Hotel -Acacia Avenue Junction,-29.64131,152.92647
Golf Course Junction,31.42472,-97.72821
UWA - Kira RD,35.5162,-100.98243
City Oil - Acacia Avenue - Kira RD Junction,37.35526,-82.3889
Kamwokya TC - Junction,39.02826,-96.83046
Kira RD Police Station,30.74777,76.64481
Kyebando Roundabout - Bypass,46.92135,-55.57583
Bukoto - Kisaasi Flyover,-0.40909,31.44941
Kisaasi Roundabout - Bypass,46.92135,-55.57583
Ntinda TC - Junction,39.02826,-96.83046
Kiwatule - Naalya Junction,30.4893,-99.77142
Naalya Roundabout - Bypass,46.92135,-55.57583
Quality Supermarket - Namugongo,28.63624,77.10184
Kyaliwajala TC - Junction,39.02826,-96.83046
Namugongo Main Entrance,0.9233,33.49361
Namugongo Anglican Church,0.9233,33.49361
Kira Division Hqtrs,5.85605,118.11059
Kira TC Roundabout,46.92135,-55.57583
China - Uganda Friendship Hospital behind,,
Legends Junction,39.09085,-108.52252
UMA Naguru Gate,36.63843,-82.58005
UMA Main Gate,23.56631,87.24918
Jinja RD - Katalima Junction,0.33649,32.62106
Spear Motors - Junction,39.04115,-96.82915
Kinawataka from URA - Railway Junction,0.33651,32.62886
Nakawa Court,0.32901,32.61814
Mbuya Church,47.20233,-65.14479
Kinawataka Junction - Akatoogo,0.33651,32.62886
Kyambogo University West End,0.35227,32.62864
Kyambogo University Student Guild,0.3488,32.62951
Kyambogo University - Banda Junction,0.35227,32.62864
Banda TC,25.48138,80.33232
Kireka Shell - Namugongo Junction,0.39117,32.65876
Bweyogerere - Namboole Junction,37.58632,-84.79399
Watoto Church East,28.59369,77.30513
Namanve Cocacola Entrance,,
Seeta,0.78695,32.79749
Seeta - Kigunga TC,0.37381,32.72752
Mukono Magistrate Court,,
UCU Main Gate,23.56631,87.24918
Mukono Health Center,0.37182,32.75593
Wantoni - Jinja RD Junction,37.35526,-82.3889
Namawojjolo Market,,
Namagunga,0.85291,33.23004
Mukono - Bugerere RD Junction,37.35526,-82.3889
Kalagi,13.24824,-15.83383
Nagalama - Wabikokoma Junction,39.02826,-96.83046
Nagalama Police Station,28.99252,80.1238
Nakifuma 1,0.58845,32.84485
Nakifuma 2,0.58845,32.84485
Kitetika - Kyanja Junction,39.02826,-96.83046
Kyanja TC,-0.36479,31.71732
Kesington - Kyanja,39.02627,-77.07507
Ndundu Complex - Kisaasi Police Station,23.06594,70.13572
Kisaasi TC,0.36604,32.59796
Supreme Court,22.27697,114.16404
Anti - Corruption Court,21.18817,72.81039
Acacia Mall,30.29051,-92.41198
Ntinda Shopping Center,28.43457,77.31069
Capita Shoppers Ntinda,0.34986,32.61593
UNEB Ntinda,0.35151,32.61843
Panama Guest House - Kataza,8.94929,-79.54715
The Village Bugolobi,35.56561,-97.5519
5th Street - Mulwana Junction,31.4329,-97.75181
7th Street - 5th Street T-Junction,27.24987,-80.83013
7th Street access to Namuwongo Railway crossing,28.94289,77.65804
